10, -1, 1
60, -1, 1
110, -1, 1
160, -1, 1
210, 61, 0
260, -1, 2
310, -1, 2
360, 100, 1
410, 284, 2
460, -1, 3
510, -1, 3
560, 546, 3
610, 104, 1
660, 482, 3
710, -1, 4
760, 440, 3
810, -1, 5
860, 412, 2
910, 893, 6
960, -1, 5
960, 31, 0
