input,time,language,algorithm
18000,548347,C,insertion_recursive
18000,549537,C,insertion_recursive
18000,541073,C,insertion_recursive
18000,531663,C,insertion_recursive
18000,541911,C,insertion_recursive
18000,560004,C,insertion_recursive
19000,616858,C,insertion_recursive
19000,624179,C,insertion_recursive
19000,609915,C,insertion_recursive
19000,616859,C,insertion_recursive
19000,617777,C,insertion_recursive
19000,606660,C,insertion_recursive
19000,616164,C,insertion_recursive
19000,610745,C,insertion_recursive
19000,621846,C,insertion_recursive
19000,617115,C,insertion_recursive
20000,690470,C,insertion_recursive
20000,661224,C,insertion_recursive
20000,654888,C,insertion_recursive
20000,652405,C,insertion_recursive
20000,665558,C,insertion_recursive
20000,677328,C,insertion_recursive
20000,699878,C,insertion_recursive
20000,698563,C,insertion_recursive
20000,702399,C,insertion_recursive
20000,685268,C,insertion_recursive
21000,756343,C,insertion_recursive
21000,748200,C,insertion_recursive
21000,750578,C,insertion_recursive
21000,736017,C,insertion_recursive
21000,737030,C,insertion_recursive
21000,716562,C,insertion_recursive
21000,714969,C,insertion_recursive
21000,731735,C,insertion_recursive
21000,748772,C,insertion_recursive
21000,748858,C,insertion_recursive
22000,838212,C,insertion_recursive
22000,829788,C,insertion_recursive
22000,849484,C,insertion_recursive
22000,832199,C,insertion_recursive
22000,1025163,C,insertion_recursive
22000,888617,C,insertion_recursive
22000,823959,C,insertion_recursive
22000,841217,C,insertion_recursive
22000,892034,C,insertion_recursive
22000,957708,C,insertion_recursive
23000,931104,C,insertion_recursive
23000,924379,C,insertion_recursive
23000,915248,C,insertion_recursive
23000,900573,C,insertion_recursive
23000,956336,C,insertion_recursive
23000,950603,C,insertion_recursive
23000,981358,C,insertion_recursive
23000,932460,C,insertion_recursive
23000,927189,C,insertion_recursive
23000,914074,C,insertion_recursive
24000,977013,C,insertion_recursive
24000,980249,C,insertion_recursive
24000,1021615,C,insertion_recursive
24000,987934,C,insertion_recursive
24000,1010229,C,insertion_recursive
24000,1005564,C,insertion_recursive
24000,1021387,C,insertion_recursive
24000,982683,C,insertion_recursive
24000,993533,C,insertion_recursive
24000,989412,C,insertion_recursive
25000,1071492,C,insertion_recursive
25000,1064015,C,insertion_recursive
25000,1065145,C,insertion_recursive
25000,1073041,C,insertion_recursive
25000,1080166,C,insertion_recursive
25000,1066439,C,insertion_recursive
25000,1072523,C,insertion_recursive
25000,1068378,C,insertion_recursive
25000,1071099,C,insertion_recursive
25000,1063785,C,insertion_recursive
26000,1153415,C,insertion_recursive
26000,1171781,C,insertion_recursive
26000,1145504,C,insertion_recursive
26000,1150885,C,insertion_recursive
26000,1152262,C,insertion_recursive
26000,1156261,C,insertion_recursive
26000,1151304,C,insertion_recursive
26000,1152018,C,insertion_recursive
26000,1150232,C,insertion_recursive
26000,1147074,C,insertion_recursive
27000,1240126,C,insertion_recursive
27000,1242725,C,insertion_recursive
27000,1234930,C,insertion_recursive
27000,1244869,C,insertion_recursive
27000,1239513,C,insertion_recursive
27000,1239786,C,insertion_recursive
27000,1239215,C,insertion_recursive
27000,1235304,C,insertion_recursive
27000,1241565,C,insertion_recursive
27000,1240727,C,insertion_recursive
28000,1334325,C,insertion_recursive
28000,1334056,C,insertion_recursive
28000,1342618,C,insertion_recursive
28000,1342241,C,insertion_recursive
28000,1341935,C,insertion_recursive
28000,1412646,C,insertion_recursive
28000,1404280,C,insertion_recursive
28000,1383573,C,insertion_recursive
28000,1345179,C,insertion_recursive
28000,1351827,C,insertion_recursive
29000,1440706,C,insertion_recursive
29000,1430989,C,insertion_recursive
29000,1441557,C,insertion_recursive
29000,1429997,C,insertion_recursive
29000,1439009,C,insertion_recursive
29000,1443500,C,insertion_recursive
29000,1427353,C,insertion_recursive
29000,1503528,C,insertion_recursive
29000,1530154,C,insertion_recursive
29000,1437411,C,insertion_recursive
30000,1522987,C,insertion_recursive
30000,1567144,C,insertion_recursive
30000,1552093,C,insertion_recursive
30000,1536759,C,insertion_recursive
