input,query,time,language,algorithm
17000,13559,120,C,linear_recursive
17000,12553,93,C,linear_recursive
17000,1931,13,C,linear_recursive
17000,4664,33,C,linear_recursive
17000,15963,125,C,linear_recursive
18000,13446,99,C,linear_recursive
18000,17658,143,C,linear_recursive
18000,-1,135,C,linear_recursive
18000,-1,129,C,linear_recursive
18000,9781,69,C,linear_recursive
18000,-1,161,C,linear_recursive
18000,-1,128,C,linear_recursive
18000,4245,29,C,linear_recursive
18000,-1,129,C,linear_recursive
18000,10567,76,C,linear_recursive
19000,7053,50,C,linear_recursive
19000,-1,155,C,linear_recursive
19000,-1,136,C,linear_recursive
19000,2831,18,C,linear_recursive
19000,-1,139,C,linear_recursive
19000,16564,144,C,linear_recursive
19000,-1,138,C,linear_recursive
19000,18733,130,C,linear_recursive
19000,6056,40,C,linear_recursive
19000,3162,20,C,linear_recursive
20000,-1,157,C,linear_recursive
20000,-1,138,C,linear_recursive
20000,7643,52,C,linear_recursive
20000,2525,16,C,linear_recursive
20000,-1,180,C,linear_recursive
20000,-1,138,C,linear_recursive
20000,-1,138,C,linear_recursive
20000,5789,38,C,linear_recursive
20000,17458,121,C,linear_recursive
20000,-1,140,C,linear_recursive
21000,-1,158,C,linear_recursive
21000,-1,141,C,linear_recursive
21000,3207,20,C,linear_recursive
21000,6328,54,C,linear_recursive
21000,-1,180,C,linear_recursive
21000,2243,14,C,linear_recursive
21000,5154,33,C,linear_recursive
21000,18177,127,C,linear_recursive
21000,17768,120,C,linear_recursive
21000,-1,146,C,linear_recursive
22000,4805,31,C,linear_recursive
22000,-1,212,C,linear_recursive
22000,779,5,C,linear_recursive
22000,9871,66,C,linear_recursive
22000,18271,125,C,linear_recursive
22000,-1,148,C,linear_recursive
22000,9496,62,C,linear_recursive
22000,7968,51,C,linear_recursive
22000,-1,152,C,linear_recursive
22000,-1,191,C,linear_recursive
23000,-1,171,C,linear_recursive
23000,7421,48,C,linear_recursive
23000,18913,129,C,linear_recursive
23000,12214,80,C,linear_recursive
23000,5185,33,C,linear_recursive
23000,1144,7,C,linear_recursive
23000,13033,89,C,linear_recursive
23000,6344,49,C,linear_recursive
23000,-1,202,C,linear_recursive
23000,1378,8,C,linear_recursive
24000,12380,82,C,linear_recursive
24000,22043,152,C,linear_recursive
24000,8750,56,C,linear_recursive
24000,-1,180,C,linear_recursive
24000,-1,213,C,linear_recursive
24000,-1,162,C,linear_recursive
24000,9783,64,C,linear_recursive
24000,989,6,C,linear_recursive
24000,-1,175,C,linear_recursive
24000,-1,158,C,linear_recursive
25000,-1,181,C,linear_recursive
25000,-1,228,C,linear_recursive
25000,8457,55,C,linear_recursive
25000,19935,133,C,linear_recursive
25000,-1,173,C,linear_recursive
25000,-1,169,C,linear_recursive
25000,903,6,C,linear_recursive
25000,-1,176,C,linear_recursive
25000,-1,229,C,linear_recursive
25000,-1,169,C,linear_recursive
26000,-1,189,C,linear_recursive
26000,-1,176,C,linear_recursive
26000,-1,179,C,linear_recursive
26000,21565,145,C,linear_recursive
26000,-1,178,C,linear_recursive
26000,4883,40,C,linear_recursive
26000,15820,132,C,linear_recursive
26000,19309,138,C,linear_recursive
26000,-1,199,C,linear_recursive
26000,14677,104,C,linear_recursive
27000,-1,199,C,linear_recursive
27000,-1,254,C,linear_recursive
