10, 2
60, 11
110, 21
160, 31
210, 44
260, 57
310, 65
360, 79
410, 92
460, 104
510, 117
560, 129
610, 142
660, 156
710, 169
760, 179
810, 245
860, 199
910, 213
960, 223
0, 0
