10, 2
60, 9
110, 17
160, 24
210, 38
260, 45
310, 53
360, 62
410, 72
460, 84
510, 92
560, 107
610, 116
660, 128
710, 139
760, 143
810, 156
860, 179
910, 179
960, 191
0, 0
