time,input,algorithm,implementation,language,dummy
0.000839,13000,linear_search,iterative,Python,-1
0.000577,13000,linear_search,iterative,Python,8391
0.000832,13000,linear_search,iterative,Python,12659
0.000053,13000,linear_search,iterative,Python,773
0.000326,13000,linear_search,iterative,Python,5046
0.000834,13000,linear_search,iterative,Python,-1
0.000207,13000,linear_search,iterative,Python,3121
0.000838,13000,linear_search,iterative,Python,-1
0.000465,13000,linear_search,iterative,Python,6826
0.000909,14000,linear_search,iterative,Python,-1
0.000899,14000,linear_search,iterative,Python,-1
0.000318,14000,linear_search,iterative,Python,4616
0.000387,14000,linear_search,iterative,Python,5971
0.000898,14000,linear_search,iterative,Python,-1
0.000182,14000,linear_search,iterative,Python,2796
0.000295,14000,linear_search,iterative,Python,4378
0.000019,14000,linear_search,iterative,Python,267
0.000790,14000,linear_search,iterative,Python,11848
0.000873,14000,linear_search,iterative,Python,-1
0.000700,15000,linear_search,iterative,Python,10005
0.000949,15000,linear_search,iterative,Python,-1
0.000715,15000,linear_search,iterative,Python,10509
0.000935,15000,linear_search,iterative,Python,14560
0.000955,15000,linear_search,iterative,Python,13761
0.000396,15000,linear_search,iterative,Python,6076
0.000962,15000,linear_search,iterative,Python,-1
0.000960,15000,linear_search,iterative,Python,-1
0.000967,15000,linear_search,iterative,Python,-1
0.000296,15000,linear_search,iterative,Python,4310
0.001033,16000,linear_search,iterative,Python,-1
0.001042,16000,linear_search,iterative,Python,-1
0.001015,16000,linear_search,iterative,Python,-1
0.001036,16000,linear_search,iterative,Python,-1
0.000476,16000,linear_search,iterative,Python,6982
0.001029,16000,linear_search,iterative,Python,-1
0.001022,16000,linear_search,iterative,Python,-1
0.001024,16000,linear_search,iterative,Python,-1
0.000303,16000,linear_search,iterative,Python,4432
0.000997,16000,linear_search,iterative,Python,-1
0.001102,17000,linear_search,iterative,Python,-1
0.001075,17000,linear_search,iterative,Python,-1
0.001092,17000,linear_search,iterative,Python,-1
0.001076,17000,linear_search,iterative,Python,-1
0.001107,17000,linear_search,iterative,Python,-1
