time,input,algorithm,implementation,language,dummy
0.000005,13000,binary_search,iterative,Python,-1
0.000007,13000,binary_search,iterative,Python,8391
0.000005,13000,binary_search,iterative,Python,12659
0.000006,13000,binary_search,iterative,Python,773
0.000005,13000,binary_search,iterative,Python,5046
0.000005,13000,binary_search,iterative,Python,-1
0.000006,13000,binary_search,iterative,Python,3121
0.000005,13000,binary_search,iterative,Python,-1
0.000007,13000,binary_search,iterative,Python,6826
0.000005,14000,binary_search,iterative,Python,-1
0.000006,14000,binary_search,iterative,Python,-1
0.000006,14000,binary_search,iterative,Python,4616
0.000006,14000,binary_search,iterative,Python,5971
0.000005,14000,binary_search,iterative,Python,-1
0.000006,14000,binary_search,iterative,Python,2796
0.000006,14000,binary_search,iterative,Python,4378
0.000005,14000,binary_search,iterative,Python,267
0.000006,14000,binary_search,iterative,Python,11848
0.000005,14000,binary_search,iterative,Python,-1
0.000006,15000,binary_search,iterative,Python,10005
0.000005,15000,binary_search,iterative,Python,-1
0.000007,15000,binary_search,iterative,Python,10509
0.000006,15000,binary_search,iterative,Python,14560
0.000005,15000,binary_search,iterative,Python,13761
0.000006,15000,binary_search,iterative,Python,6076
0.000005,15000,binary_search,iterative,Python,-1
0.000005,15000,binary_search,iterative,Python,-1
0.000005,15000,binary_search,iterative,Python,-1
0.000005,15000,binary_search,iterative,Python,4310
0.000005,16000,binary_search,iterative,Python,-1
0.000006,16000,binary_search,iterative,Python,-1
0.000006,16000,binary_search,iterative,Python,-1
0.000005,16000,binary_search,iterative,Python,-1
0.000009,16000,binary_search,iterative,Python,6982
0.000005,16000,binary_search,iterative,Python,-1
0.000005,16000,binary_search,iterative,Python,-1
0.000005,16000,binary_search,iterative,Python,-1
0.000007,16000,binary_search,iterative,Python,4432
0.000005,16000,binary_search,iterative,Python,-1
0.000006,17000,binary_search,iterative,Python,-1
0.000006,17000,binary_search,iterative,Python,-1
0.000005,17000,binary_search,iterative,Python,-1
0.000005,17000,binary_search,iterative,Python,-1
0.000009,17000,binary_search,iterative,Python,-1
0.000006,17000,binary_search,iterative,Python,13559
0.000006,17000,binary_search,iterative,Python,12553
