10,16,0.000034
60,25,0.000204
110,10,0.000394
160,13,0.000612
210,4,0.000815
260,1,0.001102
310,0,0.001291
360,0,0.001498
410,3,0.001762
460,4,0.001932
510,0,0.002153
560,0,0.002522
610,1,0.002781
660,0,0.002989
710,1,0.003228
760,0,0.003429
810,0,0.003697
860,1,0.003964
910,0,0.004163
960,1,0.004407
